NAME,Rarity Sum
Protardio #856,60.2
Protardio #382,63.5
Protardio #161,113.3
Protardio #137,120.7
Protardio #941,135.20000000000002
Protardio #772,136.7
Protardio #581,136.9
Protardio #708,137.39999999999998
Protardio #422,140.40000000000003
Protardio #660,143.39999999999998
Protardio #482,146.20000000000002
Protardio #263,146.3
Protardio #836,147.70000000000002
Protardio #838,147.9
Protardio #521,148.10000000000002
Protardio #326,149.60000000000002
Protardio #164,150.6
Protardio #819,150.8
Protardio #441,151.10000000000002
Protardio #682,152.2
Protardio #285,152.79999999999998
Protardio #984,154.70000000000002
Protardio #383,155.40000000000003
Protardio #6,156
Protardio #692,156.1
Protardio #424,156.20000000000002
Protardio #698,156.4
Protardio #59,157.1
Protardio #222,158.10000000000002
Protardio #48,158.20000000000002
Protardio #700,158.40000000000003
Protardio #841,158.70000000000002
Protardio #837,158.8
Protardio #493,158.8
Protardio #183,159.5
Protardio #442,159.7
Protardio #674,159.9
Protardio #726,160.60000000000002
Protardio #859,160.70000000000002
Protardio #397,160.89999999999998
Protardio #52,161.00000000000003
Protardio #409,161.6
Protardio #244,177
Protardio #420,177.3
Protardio #601,177.49999999999997
Protardio #99,180.40000000000003
Protardio #209,180.60000000000002
Protardio #592,183.5
Protardio #393,185.80000000000004
Protardio #655,186.5
Protardio #724,186.7
Protardio #722,190.3
Protardio #464,191.1
Protardio #152,192.10000000000002
Protardio #688,194.8
Protardio #41,196
Protardio #75,198.20000000000002
Protardio #61,199
Protardio #356,199.60000000000002
Protardio #477,199.9
Protardio #681,199.9
Protardio #443,200.39999999999998
Protardio #338,200.5
Protardio #213,200.8
Protardio #163,201.20000000000002
Protardio #374,201.5
Protardio #940,201.70000000000002
Protardio #100,202
Protardio #799,202.10000000000002
Protardio #47,202.90000000000003
Protardio #449,203
Protardio #34,203.00000000000003
Protardio #850,203.10000000000002
Protardio #504,203.2
Protardio #130,203.4
Protardio #1,203.6
Protardio #750,203.7
Protardio #744,203.8
Protardio #436,204.39999999999998
Protardio #478,204.70000000000002
Protardio #379,204.8
Protardio #989,205.00000000000003
Protardio #847,205.20000000000002
Protardio #842,205.8
Protardio #812,206.1
Protardio #885,206.20000000000002
Protardio #227,206.39999999999998
Protardio #512,206.50000000000003
Protardio #462,206.50000000000003
Protardio #595,206.59999999999994
Protardio #528,206.79999999999998
Protardio #872,206.8
Protardio #742,210.2
Protardio #401,211.4
Protardio #883,212.00000000000003
Protardio #641,212.2
Protardio #28,212.2
Protardio #557,212.50000000000003
Protardio #803,212.60000000000002
Protardio #488,212.9
Protardio #279,213.5
Protardio #651,213.50000000000003
Protardio #734,213.90000000000003
Protardio #596,214.4
Protardio #403,215.00000000000003
Protardio #23,215.60000000000002
Protardio #673,215.8
Protardio #50,216.00000000000003
Protardio #113,216.1
Protardio #509,216.2
Protardio #538,216.60000000000002
Protardio #340,216.70000000000002
Protardio #112,217.20000000000002
Protardio #37,217.70000000000002
Protardio #981,217.8
Protardio #40,217.9
Protardio #797,218.6
Protardio #774,219.20000000000002
Protardio #680,219.6
Protardio #188,219.60000000000002
Protardio #833,219.60000000000002
Protardio #280,219.8
Protardio #268,220.00000000000003
Protardio #21,220.70000000000002
Protardio #7,221.7
Protardio #333,221.70000000000002
Protardio #857,223.70000000000002
Protardio #341,226.1
Protardio #484,226.5
Protardio #108,226.6
Protardio #304,227.00000000000003
Protardio #342,227.1
Protardio #320,227.70000000000002
Protardio #256,228
Protardio #784,228.40000000000003
Protardio #373,229.2
Protardio #793,229.70000000000002
Protardio #412,229.8
Protardio #455,230.20000000000002
Protardio #877,230.3
Protardio #930,230.4
Protardio #970,231.29999999999998
Protardio #79,231.7
Protardio #893,231.7
Protardio #459,231.70000000000002
Protardio #410,231.70000000000005
Protardio #278,231.79999999999998
Protardio #975,231.89999999999998
Protardio #294,232.10000000000005
Protardio #935,232.2
Protardio #669,232.50000000000003
Protardio #29,232.6
Protardio #297,233
Protardio #811,233.30000000000004
Protardio #250,233.4
Protardio #261,233.4
Protardio #993,233.7
Protardio #815,233.9
Protardio #364,234.40000000000003
Protardio #870,235.00000000000003
Protardio #642,235.3
Protardio #587,235.4
Protardio #867,235.6
Protardio #380,236.10000000000002
Protardio #663,236.50000000000003
Protardio #185,236.70000000000002
Protardio #647,237.1
Protardio #415,237.70000000000002
Protardio #350,239.1
Protardio #753,239.10000000000002
Protardio #710,239.10000000000002
Protardio #873,239.20000000000002
Protardio #821,239.20000000000005
Protardio #218,239.29999999999998
Protardio #746,239.3
Protardio #433,239.3
Protardio #910,239.70000000000005
Protardio #406,239.8
Protardio #432,239.89999999999998
Protardio #319,239.9
Protardio #404,240.1
Protardio #233,240.20000000000005
Protardio #156,240.39999999999998
Protardio #355,240.4
Protardio #271,240.49999999999997
Protardio #19,240.5
Protardio #353,240.7
Protardio #664,240.79999999999995
Protardio #911,240.79999999999998
Protardio #914,240.89999999999998
Protardio #66,240.99999999999997
Protardio #311,241
Protardio #251,241
Protardio #10,241
Protardio #905,241.1
Protardio #389,241.10000000000002
Protardio #920,241.20000000000002
Protardio #266,241.29999999999995
Protardio #193,241.30000000000004
Protardio #684,241.30000000000004
Protardio #363,241.40000000000003
Protardio #111,241.50000000000003
Protardio #242,241.50000000000003
Protardio #543,241.50000000000003
Protardio #212,241.60000000000002
Protardio #666,241.60000000000002
Protardio #948,241.79999999999998
Protardio #843,241.79999999999998
Protardio #653,241.9
Protardio #497,241.9
Protardio #917,242
Protardio #361,242
Protardio #861,242.00000000000003
Protardio #868,242.1
