Attribute,Count,Percentage
FaceFace Mask,9,0.9000
FaceKitty,6,0.6000
FaceOval Blush,11,1.1000
FacePoland and Estonia,10,1.0000
FaceScar,8,0.8000
FaceSnake Bites,5,0.5000
FaceWar,7,0.7000
FaceWaterfall,9,0.9000
NON3,857,85.7000
,,
Friend,,
Alient Gent,9,0.9000
Chef Squeak,9,0.9000
Cowboy Squeak,6,0.6000
Degen Squeak,6,0.6000
Friend100,9,0.9000
FriendAmogus,10,1.0000
FriendAnne,8,0.8000
FriendApey,9,0.9000
FriendAutism,5,0.5000
FriendAzu,6,0.6000
FriendBeatnik,7,0.7000
FriendBelly,8,0.8000
FriendBezos,9,0.9000
FriendBionicle,6,0.6000
FriendBullseye,1,0.1000
FriendCIA,4,0.4000
FriendCalvin,6,0.6000
FriendChopstick Mouse,8,0.8000
FriendDenver Horse,5,0.5000
FriendDino,2,0.2000
FriendDrake,2,0.2000
FriendDuckie,9,0.9000
FriendElon,4,0.4000
FriendFishy,17,1.7000
FriendFiverr,6,0.6000
FriendGnome,4,0.4000
FriendGold Sonic,10,1.0000
FriendIka,3,0.3000
FriendIlyena,7,0.7000
FriendJack,6,0.6000
FriendJuicebox,6,0.6000
FriendMarcus,9,0.9000
FriendMcDonalds,8,0.8000
FriendMetoyou,5,0.5000
FriendMikitty,7,0.7000
FriendMimogus,6,0.6000
FriendMitubby,9,0.9000
FriendNewports,4,0.4000
FriendOfficial Bitcoin Mascot,3,0.3000
FriendOnno,10,1.0000
FriendPatchouli,11,1.1000
FriendPatrick,9,0.9000
FriendPoe,7,0.7000
FriendRabbits,5,0.5000
FriendRalph,9,0.9000
FriendShigeru,9,0.9000
FriendSilver Sonic,7,0.7000
FriendSteve,6,0.6000
FriendStewart,6,0.6000
FriendSurfy,9,0.9000
FriendTails,4,0.4000
FriendTech Deck,12,1.2000
FriendWoodstock,11,1.1000
FriendYAYO CEO,9,0.9000
Friendffxiv,8,0.8000
Grenade,7,0.7000
HA,3,0.3000
HB Chimp,6,0.6000
HB Froggo,6,0.6000
HB Hands Up,7,0.7000
HB Horse,7,0.7000
HB Meow,4,0.4000
HB Pig,8,0.8000
Halo Gent,8,0.8000
HorseFrog,7,0.7000
NON3,61,6.1000
Party Gent,6,0.6000
Party Hat,13,1.3000
PetAngrycat,6,0.6000
PetBalloondog,6,0.6000
PetBlackholeferret,3,0.3000
PetBookworm,6,0.6000
PetBubblebat,5,0.5000
PetCerberus,9,0.9000
PetChimera,5,0.5000
PetClockhound,8,0.8000
PetCometfish,11,1.1000
PetCookiefox,11,1.1000
PetCybercat,5,0.5000
PetDalidog,8,0.8000
PetDatadog,2,0.2000
PetExcitedferret,13,1.3000
PetFractalpup,9,0.9000
PetGalaxycat,5,0.5000
PetGhostbunny,6,0.6000
PetHamster,4,0.4000
PetHana,6,0.6000
PetHausmannmouse,6,0.6000
PetHolofox,6,0.6000
PetJoybird,8,0.8000
PetKaze,5,0.5000
PetKoori,11,1.1000
PetLanternfish,8,0.8000
PetLovebear,4,0.4000
PetMagrittehawk,8,0.8000
PetMelonbird,6,0.6000
PetMiniDragon,7,0.7000
PetMirrorfish,6,0.6000
PetMizu,13,1.3000
PetMoonwhale,7,0.7000
PetMori,7,0.7000
PetMusicbird,2,0.2000
PetNanorabbit,4,0.4000
PetNebulabird,8,0.8000
PetNeko,9,0.9000
PetNiwatori,10,1.0000
PetOrigamibird,9,0.9000
PetPanda,6,0.6000
PetPhoenix,4,0.4000
PetPicassopup,3,0.3000
PetPixelmon,10,1.0000
PetPizzarat,5,0.5000
PetProudpeacock,10,1.0000
PetSushicat,9,0.9000
PetTacoturtle,8,0.8000
PetUnicorn,8,0.8000
PetUsagi,10,1.0000
PetVinylcat,6,0.6000
Squeak King,10,1.0000
Squeak wif Hat,5,0.5000
Squeaks,9,0.9000
blue bird,12,1.2000
brackie,7,0.7000
brain wave,3,0.3000
catGhibli,3,0.3000
catepiller 12,5,0.5000
duoOnmyLingo,8,0.8000
highereagle,6,0.6000
higheyes,4,0.4000
miniHorse,10,1.0000
pepeBand1,6,0.6000
pepeBand2,4,0.4000
pepeBand3,5,0.5000
pepeBand4,4,0.4000
pepeBand5,6,0.6000
pepeBand6,4,0.4000
stevezissou,5,0.5000
,,
Glasses,,
Blue Higher Glasses,26,2.6000
Glasses2015,36,3.6000
GlassesAlien,23,2.3000
GlassesAnime Shining,24,2.4000
GlassesBalenciaga Bat,20,2.0000
GlassesBalenciaga Black,19,1.9000
GlassesBalenciaga Blue,26,2.6000
GlassesBalenciaga Mono Rectangle,29,2.9000
GlassesBalenciaga Shield 2,27,2.7000
GlassesBlue Light Blockers,17,1.7000
GlassesClout Goggles,17,1.7000
GlassesFire,19,1.9000
GlassesHalf Black,27,2.7000
GlassesHalf White,24,2.4000
GlassesJoe Biden,36,3.6000
GlassesLeili,21,2.1000
GlassesMatrix,26,2.6000
GlassesMissing Mottega,17,1.7000
GlassesMoakleys,26,2.6000
GlassesSafety Glasses,27,2.7000
GlassesShooting Glasses,18,1.8000
GlassesShutter Shades,27,2.7000
GlassesTiny Black,39,3.9000
GlassesTiny White,30,3.0000
GlassesTom Cruise,24,2.4000
GlassesVersace,32,3.2000
GlassesVintage,26,2.6000
Green Higher Glasses,24,2.4000
Higher Glasses,23,2.3000
NON3,69,6.9000
Purp Higher Glasses,26,2.6000
Red Higher Glasses,21,2.1000
Tiny Dark Purple,20,2.0000
Tiny Green,27,2.7000
Tiny Purple,26,2.6000
Tiny Red,21,2.1000
Tiny Yellow,17,1.7000
Yellow Higher Glasses,18,1.8000
,,
Hair,,
HairAquarium Blonde,25,2.5000
HairAquarium Bluish,18,1.8000
HairAquarium Brown,22,2.2000
HairAquarium Caramel,16,1.6000
HairAquarium Deep Red,25,2.5000
HairAquarium Moss,19,1.9000
HairAquarium Pink,20,2.0000
HairAquarium Red,19,1.9000
HairAquarium Salmon,24,2.4000
HairCharlie Blonde,18,1.8000
HairCharlie Brown,28,2.8000
HairCharlie Glowing,28,2.8000
HairCharlie Grey,18,1.8000
HairCharlie Peach,29,2.9000
HairLemaire Blonde,18,1.8000
HairLemaire Blue,17,1.7000
HairLemaire Brown,11,1.1000
HairLemaire Neon,28,2.8000
HairLemaire Pink,22,2.2000
HairLukas Black,22,2.2000
HairLukas Blonde,14,1.4000
HairLukas Brown,28,2.8000
HairLukas Caramel,24,2.4000
HairLukas Green,25,2.5000
HairLukas Red,24,2.4000
HairLukas White,15,1.5000
HairMadoka Blonde,21,2.1000
HairMadoka Blue,30,3.0000
HairMadoka Bright Pastel,21,2.1000
HairMadoka Grey,25,2.5000
HairMadoka True,22,2.2000
HairMadoka White,24,2.4000
HairUlenka Blue,22,2.2000
HairUlenka Brown,22,2.2000
HairUlenka Glowing,18,1.8000
HairUlenka Golden,14,1.4000
HairUlenka Golden Brown,21,2.1000
HairUlenka Grey,19,1.9000
HairUlenka Pink Painted,28,2.8000
HairUlenka White,22,2.2000
HairWidow Blonde,20,2.0000
HairWidow Blue,28,2.8000
HairWidow Orange,22,2.2000
HairWidow Purple,23,2.3000
HairWidow White,16,1.6000
,,
Hat,,
HIGHER HAT OG_600x600,11,1.1000
Hat911 Hat,4,0.4000
HatATF Cap,8,0.8000
HatAbusive,7,0.7000
HatAsh Ketchum,7,0.7000
HatBRKLN,9,0.9000
HatBike Helmet,7,0.7000
HatBlack Nasty,11,1.1000
HatBonnet,7,0.7000
HatBrazil Headband,6,0.6000
HatBurger King Crown,10,1.0000
HatCat Ears,9,0.9000
HatChav Bucket,15,1.5000
HatChinese Cap,6,0.6000
HatDino Bucket,17,1.7000
HatEar Cap,9,0.9000
HatFBI Cap,6,0.6000
HatFez,14,1.4000
HatFloppa,9,0.9000
HatFunny and Cute,9,0.9000
HatHODL,10,1.0000
HatHalo,9,0.9000
HatHeart Bucket,5,0.5000
HatHeart Cap,12,1.2000
HatIkea Bucket,8,0.8000
HatInvader Zim,10,1.0000
HatKitty Beanie,5,0.5000
HatLego Orlando,8,0.8000
HatLogan Paul,10,1.0000
HatMcDonalds,10,1.0000
HatMickey Hat,10,1.0000
HatModelo,10,1.0000
HatMonkey Ears,11,1.1000
HatMonster University,5,0.5000
HatMushroom,13,1.3000
HatNothing Can Stop This,12,1.2000
HatPirate Hat,3,0.3000
HatRage,11,1.1000
HatRepsol,9,0.9000
HatSailor,10,1.0000
HatSigma,7,0.7000
HatSleepyhead,12,1.2000
HatStraw Hat,11,1.1000
HatStraw Hat Aged,5,0.5000
HatStrawberry Hat,14,1.4000
HatSweat,8,0.8000
HatTinfoil,7,0.7000
HatVR_Goggles,8,0.8000
HatVW Saturn,8,0.8000
HatViking,3,0.3000
HatWeed Beanie,9,0.9000
HatWool Beret,7,0.7000
HatYAYO Cap,6,0.6000
NON3,28,2.8000
OverlayParty Hat,2,0.2000
hat_tech_01_600x600,5,0.5000
hat_tech_02_600x600,5,0.5000
hat_tech_08_600x600,9,0.9000
hat_tech_104_600x600,9,0.9000
hat_tech_105_600x600,7,0.7000
hat_tech_106_600x600,9,0.9000
hat_tech_107_600x600,10,1.0000
hat_tech_108_600x600,9,0.9000
hat_tech_110_600x600,13,1.3000
hat_tech_111_600x600,5,0.5000
hat_tech_16_600x600,5,0.5000
hat_tech_18_600x600,11,1.1000
hat_tech_20_600x600,8,0.8000
hat_tech_22_600x600,10,1.0000
hat_tech_23_600x600,9,0.9000
hat_tech_28_600x600,9,0.9000
hat_tech_31_600x600,10,1.0000
hat_tech_33_600x600,8,0.8000
hat_tech_35_600x600,9,0.9000
hat_tech_38_600x600,12,1.2000
hat_tech_39_600x600,6,0.6000
hat_tech_40_600x600,11,1.1000
hat_tech_41_600x600,9,0.9000
hat_tech_47_600x600,7,0.7000
hat_tech_51_600x600,7,0.7000
hat_tech_54_600x600,13,1.3000
hat_tech_55_600x600,3,0.3000
hat_tech_56_600x600,13,1.3000
hat_tech_60_600x600,7,0.7000
hat_tech_63_600x600,8,0.8000
hat_tech_64_600x600,12,1.2000
hat_tech_65_600x600,11,1.1000
hat_tech_69_600x600,7,0.7000
hat_tech_70_600x600,13,1.3000
hat_tech_71_600x600,13,1.3000
hat_tech_72_600x600,11,1.1000
hat_tech_77_600x600,12,1.2000
hat_tech_78_600x600,10,1.0000
hat_tech_79_600x600,9,0.9000
hat_tech_83_600x600,10,1.0000
hat_tech_85_600x600,13,1.3000
hat_tech_86_600x600,12,1.2000
hat_tech_89_600x600,14,1.4000
hat_tech_91_600x600,11,1.1000
hat_tech_92_600x600,8,0.8000
hat_tech_93_600x600,14,1.4000
hat_tech_94_600x600,10,1.0000
hat_tech_95_600x600,13,1.3000
hat_tech_97_600x600,6,0.6000
higherhat_empty_600x600,13,1.3000
,,
Mouth,,
MouthBinky,49,4.9000
MouthCalvin,50,5.0000
MouthCharlie Fang,42,4.2000
MouthCigar,45,4.5000
MouthCigarette,56,5.6000
MouthDrool,58,5.8000
MouthDummy,54,5.4000
MouthFlipped,61,6.1000
MouthJuul,41,4.1000
MouthLollipop,60,6.0000
MouthMini,46,4.6000
MouthNormal,57,5.7000
MouthPipe,48,4.8000
MouthSmug,57,5.7000
MouthSouthpark,40,4.0000
MouthToothpick,57,5.7000
MouthTriangle,45,4.5000
MouthTroll,63,6.3000
MouthVampire,55,5.5000
NON3,16,1.6000
,,
Shirt,,
2Pac Shirt,7,0.7000
Acne Shirt,6,0.6000
Ahegao,8,0.8000
Balenci Shirt,7,0.7000
Black tie shirt,4,0.4000
Blue Tie,6,0.6000
Bluepie,9,0.9000
Brazil Tank,5,0.5000
Bright Tie,4,0.4000
Cat Shirt,10,1.0000
